Site,Nest,Tree,DBH,Stage,Ht
CoastN,Platform,DouglasFir,151,2.0,37
CoastN,Platform,DouglasFir,90,1.0,52
CoastN,Platform,WesternRedCedar,116,1.0,49
CoastN,Platform,WesternRedCedar,135,1.0,49
CoastN,Platform,Other,48,1.0,28
CoastN,Platform,Other,93,1.0,37
CoastN,Platform,Other,120,1.0,52
CoastN,Platform,Other,139,1.0,64
CoastS,Platform,DouglasFir,76,1.0,23
CoastS,Platform,DouglasFir,73,1.0,23
CoastS,Platform,DouglasFir,51,1.0,24
CoastS,Platform,DouglasFir,107,1.0,24
CoastS,Platform,DouglasFir,72,1.0,25
CoastS,Platform,DouglasFir,57,1.0,27
CoastS,Platform,DouglasFir,95,1.0,30
CoastS,Platform,DouglasFir,86,1.0,30
CoastS,Platform,DouglasFir,74,1.0,30
CoastS,Platform,DouglasFir,89,1.0,31
CoastS,Platform,DouglasFir,79,1.0,33
CoastS,Platform,DouglasFir,107,1.0,34
CoastS,Platform,DouglasFir,152,1.0,34
CoastS,Platform,DouglasFir,128,1.0,34
CoastS,Platform,DouglasFir,86,1.0,35
CoastS,Platform,DouglasFir,97,1.0,36
CoastS,Platform,DouglasFir,65,1.0,36
CoastS,Platform,DouglasFir,89,1.0,36
CoastS,Platform,DouglasFir,89,1.0,36
CoastS,Platform,DouglasFir,97,1.0,36
CoastS,Platform,DouglasFir,81,1.0,36
CoastS,Platform,DouglasFir,100,1.0,36
CoastS,Platform,DouglasFir,119,1.0,37
CoastS,Platform,DouglasFir,140,1.0,37
CoastS,Platform,DouglasFir,91,1.0,37
CoastS,Platform,DouglasFir,117,1.0,37
CoastS,Platform,DouglasFir,74,1.0,37
CoastS,Platform,DouglasFir,99,1.0,37
CoastS,Platform,DouglasFir,86,1.0,39
CoastS,Platform,DouglasFir,65,1.0,40
CoastS,Platform,DouglasFir,106,1.0,40
CoastS,Platform,DouglasFir,81,1.0,40
CoastS,Platform,DouglasFir,87,1.0,40
CoastS,Platform,DouglasFir,109,1.0,40
CoastS,Platform,DouglasFir,100,1.0,40
CoastS,Platform,DouglasFir,79,1.0,40
CoastS,Platform,DouglasFir,103,1.0,40
CoastS,Platform,DouglasFir,117,1.0,41
CoastS,Platform,DouglasFir,127,1.0,41
CoastS,Platform,DouglasFir,140,1.0,41
CoastS,Platform,DouglasFir,107,1.0,42
CoastS,Platform,DouglasFir,104,1.0,42
CoastS,Platform,DouglasFir,94,1.0,42
CoastS,Platform,DouglasFir,109,1.0,42
CoastS,Platform,DouglasFir,76,1.0,43
CoastS,Platform,DouglasFir,102,1.0,43
CoastS,Platform,DouglasFir,117,1.0,43
CoastS,Platform,DouglasFir,93,1.0,44
CoastS,Platform,DouglasFir,130,1.0,44
CoastS,Platform,DouglasFir,124,1.0,44
CoastS,Platform,DouglasFir,84,1.0,44
CoastS,Platform,DouglasFir,137,1.0,44
CoastS,Platform,DouglasFir,117,1.0,45
CoastS,Platform,DouglasFir,98,1.0,45
CoastS,Platform,DouglasFir,104,1.0,46
CoastS,Platform,DouglasFir,117,1.0,46
CoastS,Platform,DouglasFir,114,1.0,46
CoastS,Platform,DouglasFir,135,1.0,46
CoastS,Platform,DouglasFir,122,1.0,46
CoastS,Platform,DouglasFir,152,1.0,46
CoastS,Platform,DouglasFir,155,1.0,46
CoastS,Platform,DouglasFir,147,1.0,46
CoastS,Platform,DouglasFir,127,1.0,46
CoastS,Platform,DouglasFir,132,1.0,46
CoastS,Platform,DouglasFir,109,1.0,46
CoastS,Platform,DouglasFir,104,1.0,47
CoastS,Platform,DouglasFir,104,1.0,47
CoastS,Platform,DouglasFir,100,1.0,49
CoastS,Platform,DouglasFir,114,1.0,49
CoastS,Platform,DouglasFir,155,1.0,49
CoastS,Platform,DouglasFir,150,1.0,49
CoastS,Platform,DouglasFir,117,1.0,50
CoastS,Platform,DouglasFir,124,1.0,50
CoastS,Platform,DouglasFir,93,1.0,50
CoastS,Platform,DouglasFir,157,1.0,51
CoastS,Platform,DouglasFir,165,1.0,52
CoastS,Platform,DouglasFir,114,1.0,52
CoastS,Platform,DouglasFir,137,1.0,52
CoastS,Platform,DouglasFir,122,1.0,53
CoastS,Platform,DouglasFir,124,1.0,53
CoastS,Platform,DouglasFir,142,1.0,53
CoastS,Platform,DouglasFir,132,1.0,54
CoastS,Platform,DouglasFir,170,1.0,55
CoastS,Platform,DouglasFir,137,1.0,55
CoastS,Platform,DouglasFir,127,1.0,55
CoastS,Platform,DouglasFir,132,1.0,55
CoastS,Platform,DouglasFir,122,1.0,55
CoastS,Platform,DouglasFir,169,1.0,56
CoastS,Platform,DouglasFir,97,1.0,56
CoastS,Platform,DouglasFir,127,1.0,61
CoastS,Platform,DouglasFir,144,1.0,61
CoastS,Platform,DouglasFir,139,1.0,61
CoastS,Platform,DouglasFir,126,1.0,62
CoastS,Platform,DouglasFir,135,1.0,65
CoastS,Platform,DouglasFir,140,1.0,65
CoastS,Platform,DouglasFir,53,2.0,30
CoastS,Platform,DouglasFir,110,2.0,31
CoastS,Platform,DouglasFir,142,2.0,31
CoastS,Platform,DouglasFir,132,2.0,32
CoastS,Platform,DouglasFir,94,2.0,36
CoastS,Platform,DouglasFir,179,2.0,37
CoastS,Platform,DouglasFir,123,2.0,40
CoastS,Platform,DouglasFir,133,2.0,42
CoastS,Platform,DouglasFir,147,2.0,55
CoastS,Platform,DouglasFir,200,2.0,63
CoastS,Platform,DouglasFir,180,2.0,48
CoastS,Platform,DouglasFir,167,1.0,42
CoastS,Platform,DouglasFir,130,1.0,66
CoastS,Platform,DouglasFir,127,1.0,62
CoastS,Platform,DouglasFir,193,1.0,41
CoastS,Platform,DouglasFir,43,2.0,12
CoastS,Platform,DouglasFir,127,1.0,47
CoastS,Platform,DouglasFir,131,1.0,42
CoastS,Platform,DouglasFir,159,1.0,34
CoastS,Platform,DouglasFir,166,1.0,48
CoastS,Platform,DouglasFir,93,1.0,35
CoastS,Platform,DouglasFir,104,1.0,15
CoastS,Platform,DouglasFir,104,1.0,38
CoastS,Platform,DouglasFir,65,1.0,54
CoastS,Platform,DouglasFir,141,1.0,54
CoastS,Platform,DouglasFir,79,1.0,39
CoastS,Platform,DouglasFir,122,1.0,53
CoastS,Platform,DouglasFir,173,1.0,54
CoastS,Platform,DouglasFir,124,2.0,29
CoastS,Platform,DouglasFir,183,2.0,45
CoastS,Platform,DouglasFir,69,2.0,30
CoastS,Platform,DouglasFir,83,1.0,38
CoastS,Platform,DouglasFir,121,1.0,38
CoastS,Platform,DouglasFir,98,2.0,34
CoastS,Platform,DouglasFir,140,1.0,50
CoastS,Platform,DouglasFir,101,2.0,26
CoastS,Platform,DouglasFir,97,1.0,38
CoastS,Platform,DouglasFir,109,1.0,45
CoastS,Platform,DouglasFir,107,1.0,58
CoastS,Platform,DouglasFir,137,1.0,58
CoastS,Platform,DouglasFir,138,1.0,37
CoastS,Platform,DouglasFir,216,1.0,43
CoastS,Platform,DouglasFir,107,1.0,47
CoastS,Platform,DouglasFir,111,1.0,47
CoastS,Platform,DouglasFir,117,1.0,61
CoastS,Platform,DouglasFir,84,2.0,37
CoastS,Platform,DouglasFir,158,1.0,56
CoastS,Platform,Other,90,1.0,26
CoastS,Platform,Other,69,1.0,28
CoastS,Platform,Other,13,1.0,31
CoastS,Platform,Other,92,1.0,31
CoastS,Platform,Other,124,1.0,32
CoastS,Platform,Other,62,1.0,37
CoastS,Platform,Other,114,1.0,37
CoastS,Platform,Other,103,1.0,46
CoastS,Platform,Other,173,1.0,51
CoastS,Platform,Other,51,1.0,24
CoastS,Platform,Other,100,2.0,30
CoastS,Platform,Other,93,1.0,37
Olympic,SideCavity,DouglasFir,63,5.0,14
Olympic,SideCavity,DouglasFir,68,4.0,18
Olympic,SideCavity,DouglasFir,64,4.0,18
Olympic,SideCavity,DouglasFir,146,2.0,19
Olympic,SideCavity,DouglasFir,128,6.0,23
Olympic,SideCavity,DouglasFir,50,2.0,26
Olympic,SideCavity,DouglasFir,119,2.0,32
Olympic,SideCavity,DouglasFir,128,5.0,34
Olympic,SideCavity,DouglasFir,165,1.0,38
Olympic,SideCavity,DouglasFir,80,2.0,38
Olympic,SideCavity,DouglasFir,92,2.0,44
Olympic,SideCavity,DouglasFir,171,2.0,46
Olympic,SideCavity,DouglasFir,98,2.0,47
Olympic,SideCavity,DouglasFir,93,1.0,52
Olympic,SideCavity,DouglasFir,233,2.0,59
Olympic,SideCavity,DouglasFir,140,2.0,74
Olympic,SideCavity,WesternHemlock,95,4.0,13
Olympic,SideCavity,WesternHemlock,49,2.0,14
Olympic,SideCavity,WesternHemlock,83,3.0,20
Olympic,SideCavity,WesternHemlock,60,4.0,20
Olympic,SideCavity,WesternHemlock,80,3.0,22
Olympic,SideCavity,WesternHemlock,106,4.0,22
Olympic,SideCavity,WesternHemlock,53,2.0,29
Olympic,SideCavity,WesternHemlock,83,3.0,29
Olympic,SideCavity,WesternHemlock,92,1.0,30
Olympic,SideCavity,WesternHemlock,111,4.0,30
Olympic,SideCavity,WesternHemlock,100,5.0,30
Olympic,SideCavity,WesternHemlock,111,1.0,34
Olympic,SideCavity,WesternHemlock,60,2.0,34
Olympic,SideCavity,WesternHemlock,132,4.0,34
Olympic,SideCavity,WesternHemlock,92,2.0,36
Olympic,SideCavity,WesternHemlock,116,2.0,37
Olympic,SideCavity,WesternHemlock,98,2.0,37
Olympic,SideCavity,WesternHemlock,97,2.0,37
Olympic,SideCavity,WesternHemlock,83,2.0,38
Olympic,SideCavity,WesternHemlock,163,2.0,39
Olympic,SideCavity,WesternHemlock,102,2.0,39
Olympic,SideCavity,WesternHemlock,90,2.0,41
Olympic,SideCavity,WesternHemlock,93,1.0,42
Olympic,SideCavity,WesternHemlock,105,2.0,44
Olympic,SideCavity,WesternHemlock,126,2.0,45
Olympic,SideCavity,WesternHemlock,143,3.0,45
Olympic,SideCavity,WesternHemlock,122,1.0,46
Olympic,SideCavity,WesternHemlock,132,2.0,47
Olympic,SideCavity,WesternHemlock,106,2.0,47
Olympic,SideCavity,WesternHemlock,148,2.0,48
Olympic,SideCavity,WesternHemlock,113,2.0,48
Olympic,SideCavity,WesternHemlock,101,2.0,48
Olympic,SideCavity,WesternHemlock,129,1.0,50
Olympic,SideCavity,WesternHemlock,119,2.0,50
Olympic,SideCavity,WesternHemlock,120,1.0,52
Olympic,SideCavity,WesternHemlock,76,2.0,52
Olympic,SideCavity,WesternHemlock,150,2.0,53
Olympic,SideCavity,WesternHemlock,128,2.0,53
Olympic,SideCavity,WesternHemlock,105,2.0,53
Olympic,SideCavity,WesternHemlock,154,2.0,55
Olympic,SideCavity,WesternHemlock,141,1.0,58
Olympic,SideCavity,WesternHemlock,112,1.0,65
Olympic,SideCavity,WesternRedCedar,113,4.0,15
Olympic,SideCavity,WesternRedCedar,121,4.0,26
Olympic,SideCavity,WesternRedCedar,222,5.0,28
Olympic,SideCavity,WesternRedCedar,209,2.0,36
Olympic,SideCavity,WesternRedCedar,155,1.0,37
Olympic,SideCavity,WesternRedCedar,182,4.0,37
Olympic,SideCavity,WesternRedCedar,238,2.0,40
Olympic,SideCavity,WesternRedCedar,170,2.0,40
Olympic,SideCavity,WesternRedCedar,143,2.0,41
Olympic,SideCavity,WesternRedCedar,215,2.0,42
Olympic,SideCavity,WesternRedCedar,168,2.0,42
Olympic,SideCavity,WesternRedCedar,134,2.0,42
Olympic,SideCavity,WesternRedCedar,193,2.0,45
Olympic,SideCavity,WesternRedCedar,240,2.0,46
Olympic,SideCavity,WesternRedCedar,300,2.0,47
Olympic,SideCavity,WesternRedCedar,180,2.0,47
Olympic,SideCavity,WesternRedCedar,175,2.0,47
Olympic,SideCavity,WesternRedCedar,159,3.0,47
Olympic,SideCavity,WesternRedCedar,278,2.0,48
Olympic,SideCavity,WesternRedCedar,165,2.0,49
Olympic,SideCavity,WesternRedCedar,300,2.0,50
Olympic,SideCavity,WesternRedCedar,360,2.0,51
Olympic,SideCavity,WesternRedCedar,189,2.0,51
Olympic,SideCavity,WesternRedCedar,280,2.0,52
Olympic,SideCavity,WesternRedCedar,179,2.0,52
Olympic,SideCavity,WesternRedCedar,379,2.0,53
Olympic,SideCavity,WesternRedCedar,314,2.0,53
Olympic,SideCavity,WesternRedCedar,313,2.0,53
Olympic,SideCavity,WesternRedCedar,285,2.0,53
Olympic,SideCavity,WesternRedCedar,150,2.0,53
Olympic,SideCavity,WesternRedCedar,105,2.0,53
Olympic,SideCavity,WesternRedCedar,222,2.0,54
Olympic,SideCavity,WesternRedCedar,98,4.0,54
Olympic,SideCavity,WesternRedCedar,272,2.0,57
Olympic,SideCavity,WesternRedCedar,320,2.0,58
Olympic,SideCavity,WesternRedCedar,300,2.0,58
Olympic,SideCavity,WesternRedCedar,205,2.0,59
Olympic,SideCavity,WesternRedCedar,267,2.0,61
Olympic,SideCavity,WesternRedCedar,160,2.0,61
Olympic,SideCavity,WesternRedCedar,268,2.0,67
Olympic,SideCavity,Other,100,2.0,28
Olympic,SideCavity,Other,195,1.0,42
Olympic,SideCavity,Other,133,2.0,51
Interior,SideCavity,DouglasFir,95,,30
Interior,SideCavity,WesternHemlock,138,,30
Interior,SideCavity,WesternHemlock,125,,33
Interior,SideCavity,WesternHemlock,102,,27
Interior,SideCavity,WesternRedCedar,145,,32
Interior,SideCavity,WesternRedCedar,99,,25
CoastN,SideCavity,DouglasFir,130,2.0,30
CoastN,SideCavity,DouglasFir,122,2.0,36
CoastN,SideCavity,DouglasFir,88,6.0,27
CoastN,SideCavity,DouglasFir,188,2.0,40
CoastN,SideCavity,DouglasFir,93,1.0,56
CoastN,SideCavity,DouglasFir,118,2.0,37
CoastN,SideCavity,DouglasFir,170,2.0,34
CoastN,SideCavity,DouglasFir,183,2.0,33
CoastN,SideCavity,DouglasFir,181,2.0,56
CoastN,SideCavity,DouglasFir,167,1.0,56
CoastN,SideCavity,DouglasFir,144,2.0,42
CoastN,SideCavity,DouglasFir,123,2.0,26
CoastN,SideCavity,DouglasFir,130,1.0,52
CoastN,SideCavity,DouglasFir,147,2.0,38
CoastN,SideCavity,DouglasFir,107,2.0,20
CoastN,SideCavity,DouglasFir,145,2.0,40
CoastN,SideCavity,DouglasFir,109,7.0,20
CoastN,SideCavity,DouglasFir,61,4.0,16
CoastN,SideCavity,DouglasFir,106,4.0,19
CoastN,SideCavity,DouglasFir,105,7.0,19
CoastN,SideCavity,DouglasFir,107,4.0,24
CoastN,SideCavity,DouglasFir,163,1.0,50
CoastN,SideCavity,DouglasFir,139,6.0,41
CoastN,SideCavity,DouglasFir,145,2.0,52
CoastN,SideCavity,DouglasFir,187,2.0,56
CoastN,SideCavity,DouglasFir,202,2.0,58
CoastN,SideCavity,DouglasFir,96,6.0,12
CoastN,SideCavity,DouglasFir,159,3.0,34
CoastN,SideCavity,DouglasFir,138,3.0,38
CoastN,SideCavity,DouglasFir,144,2.0,31
CoastN,SideCavity,DouglasFir,136,2.0,45
CoastN,SideCavity,DouglasFir,135,2.0,35
CoastN,SideCavity,DouglasFir,189,2.0,56
CoastN,SideCavity,DouglasFir,157,6.0,30
CoastN,SideCavity,DouglasFir,147,1.0,60
CoastN,SideCavity,DouglasFir,120,7.0,8
CoastN,SideCavity,DouglasFir,170,2.0,36
CoastN,SideCavity,DouglasFir,95,7.0,9
CoastN,SideCavity,DouglasFir,130,2.0,40
CoastN,SideCavity,DouglasFir,83,2.0,39
CoastN,SideCavity,DouglasFir,61,2.0,25
CoastN,SideCavity,DouglasFir,164,2.0,70
CoastN,SideCavity,DouglasFir,155,2.0,46
CoastN,SideCavity,DouglasFir,198,2.0,54
CoastN,SideCavity,DouglasFir,124,1.0,43
CoastN,SideCavity,DouglasFir,203,2.0,69
CoastN,SideCavity,DouglasFir,152,2.0,48
CoastN,SideCavity,DouglasFir,142,1.0,59
CoastN,SideCavity,DouglasFir,217,7.0,35
CoastN,SideCavity,DouglasFir,155,7.0,13
CoastN,SideCavity,DouglasFir,162,6.0,27
CoastN,SideCavity,DouglasFir,176,2.0,40
CoastN,SideCavity,DouglasFir,148,5.0,50
CoastN,SideCavity,DouglasFir,186,2.0,60
CoastN,SideCavity,DouglasFir,183,2.0,53
CoastN,SideCavity,DouglasFir,161,1.0,55
CoastN,SideCavity,DouglasFir,196,2.0,48
CoastN,SideCavity,DouglasFir,166,1.0,56
CoastN,SideCavity,DouglasFir,141,6.0,34
CoastN,SideCavity,DouglasFir,169,2.0,49
CoastN,SideCavity,DouglasFir,201,2.0,46
CoastN,SideCavity,DouglasFir,167,2.0,45
CoastN,SideCavity,DouglasFir,74,2.0,27
CoastN,SideCavity,DouglasFir,154,2.0,38
CoastN,SideCavity,WesternHemlock,83,2.0,39
CoastN,SideCavity,WesternHemlock,114,3.0,44
CoastN,SideCavity,WesternHemlock,75,3.0,32
CoastN,SideCavity,WesternHemlock,126,1.0,54
CoastN,SideCavity,WesternRedCedar,152,2.0,25
CoastN,SideCavity,WesternRedCedar,168,1.0,40
CoastN,SideCavity,WesternRedCedar,151,2.0,46
CoastN,SideCavity,WesternRedCedar,96,6.0,16
CoastN,SideCavity,WesternRedCedar,147,6.0,18
CoastN,SideCavity,WesternRedCedar,89,6.0,17
CoastN,SideCavity,WesternRedCedar,107,2.0,41
CoastN,SideCavity,WesternRedCedar,130,2.0,44
CoastN,SideCavity,WesternRedCedar,168,6.0,22
CoastN,SideCavity,WesternRedCedar,222,2.0,50
CoastN,SideCavity,WesternRedCedar,179,2.0,48
CoastN,SideCavity,WesternRedCedar,213,2.0,49
CoastN,SideCavity,WesternRedCedar,83,6.0,30
CoastN,SideCavity,WesternRedCedar,183,5.0,38
CoastN,SideCavity,WesternRedCedar,156,5.0,49
CoastN,SideCavity,WesternRedCedar,233,2.0,49
CoastN,SideCavity,WesternRedCedar,79,5.0,26
CoastN,SideCavity,WesternRedCedar,145,2.0,35
CoastN,SideCavity,WesternRedCedar,108,6.0,28
CoastN,SideCavity,WesternRedCedar,136,5.0,39
CoastN,SideCavity,WesternRedCedar,129,5.0,42
CoastN,SideCavity,WesternRedCedar,127,2.0,45
CoastN,SideCavity,WesternRedCedar,199,2.0,37
CoastN,SideCavity,WesternRedCedar,138,2.0,43
CoastN,SideCavity,Other,85,1.0,29
CoastN,SideCavity,Other,67,2.0,20
CoastN,SideCavity,Other,124,1.0,30
CoastN,SideCavity,Other,110,2.0,32
CoastS,SideCavity,DouglasFir,152,1.0,18
CoastS,SideCavity,DouglasFir,142,1.0,18
CoastS,SideCavity,DouglasFir,122,1.0,26
CoastS,SideCavity,DouglasFir,137,1.0,29
CoastS,SideCavity,DouglasFir,99,1.0,30
CoastS,SideCavity,DouglasFir,135,1.0,30
CoastS,SideCavity,DouglasFir,112,1.0,30
CoastS,SideCavity,DouglasFir,147,1.0,30
CoastS,SideCavity,DouglasFir,84,1.0,31
CoastS,SideCavity,DouglasFir,122,1.0,32
CoastS,SideCavity,DouglasFir,109,1.0,34
CoastS,SideCavity,DouglasFir,94,1.0,40
CoastS,SideCavity,DouglasFir,132,1.0,43
CoastS,SideCavity,DouglasFir,54,1.0,44
CoastS,SideCavity,DouglasFir,145,1.0,48
CoastS,SideCavity,DouglasFir,127,1.0,49
CoastS,SideCavity,DouglasFir,117,1.0,49
CoastS,SideCavity,DouglasFir,141,1.0,52
CoastS,SideCavity,DouglasFir,145,1.0,60
CoastS,SideCavity,DouglasFir,94,2.0,21
CoastS,SideCavity,DouglasFir,98,2.0,24
CoastS,SideCavity,DouglasFir,127,2.0,29
CoastS,SideCavity,DouglasFir,147,2.0,29
CoastS,SideCavity,DouglasFir,104,2.0,34
CoastS,SideCavity,DouglasFir,174,2.0,38
CoastS,SideCavity,DouglasFir,115,2.0,40
CoastS,SideCavity,DouglasFir,104,2.0,49
CoastS,SideCavity,DouglasFir,144,2.0,52
CoastS,SideCavity,DouglasFir,131,2.0,55
CoastS,SideCavity,DouglasFir,131,3.0,13
CoastS,SideCavity,DouglasFir,91,3.0,18
CoastS,SideCavity,DouglasFir,132,3.0,23
CoastS,SideCavity,DouglasFir,134,3.0,30
CoastS,SideCavity,DouglasFir,140,3.0,30
CoastS,SideCavity,DouglasFir,147,3.0,41
CoastS,SideCavity,DouglasFir,147,4.0,14
CoastS,SideCavity,DouglasFir,150,4.0,26
CoastS,SideCavity,DouglasFir,112,4.0,32
CoastS,SideCavity,DouglasFir,123,4.0,44
CoastS,SideCavity,DouglasFir,61,6.0,9
CoastS,SideCavity,DouglasFir,84,6.0,16
CoastS,SideCavity,DouglasFir,198,2.0,54
CoastS,SideCavity,DouglasFir,75,6.0,23
CoastS,SideCavity,DouglasFir,201,2.0,53
CoastS,SideCavity,DouglasFir,61,2.0,25
CoastS,SideCavity,DouglasFir,130,2.0,40
CoastS,SideCavity,DouglasFir,103,2.0,40
CoastS,SideCavity,DouglasFir,107,4.0,24
CoastS,SideCavity,DouglasFir,165,7.0,23
CoastS,SideCavity,DouglasFir,154,1.0,55
CoastS,SideCavity,DouglasFir,107,1.0,54
CoastS,SideCavity,DouglasFir,79,2.0,25
CoastS,SideCavity,DouglasFir,167,7.0,13
CoastS,SideCavity,DouglasFir,139,2.0,61
CoastS,SideCavity,DouglasFir,124,1.0,43
CoastS,SideCavity,DouglasFir,156,1.0,62
CoastS,SideCavity,DouglasFir,188,2.0,63
CoastS,SideCavity,DouglasFir,188,2.0,40
CoastS,SideCavity,DouglasFir,144,2.0,42
CoastS,SideCavity,DouglasFir,124,2.0,42
CoastS,SideCavity,DouglasFir,127,2.0,42
CoastS,SideCavity,DouglasFir,137,2.0,70
CoastS,SideCavity,DouglasFir,95,7.0,9
CoastS,SideCavity,DouglasFir,193,1.0,62
CoastS,SideCavity,DouglasFir,152,2.0,40
CoastS,SideCavity,DouglasFir,130,7.0,21
CoastS,SideCavity,DouglasFir,109,7.0,20
CoastS,SideCavity,DouglasFir,121,2.0,44
CoastS,SideCavity,DouglasFir,145,2.0,40
CoastS,SideCavity,DouglasFir,160,1.0,57
CoastS,SideCavity,DouglasFir,112,2.0,44
CoastS,SideCavity,DouglasFir,108,1.0,39
CoastS,SideCavity,DouglasFir,106,4.0,19
CoastS,SideCavity,DouglasFir,105,7.0,19
CoastS,SideCavity,DouglasFir,107,2.0,20
CoastS,SideCavity,DouglasFir,142,2.0,46
CoastS,SideCavity,DouglasFir,138,3.0,38
CoastS,SideCavity,DouglasFir,156,2.0,47
CoastS,SideCavity,DouglasFir,63,1.0,50
CoastS,SideCavity,DouglasFir,188,2.0,34
CoastS,SideCavity,DouglasFir,166,2.0,36
CoastS,SideCavity,DouglasFir,182,2.0,50
CoastS,SideCavity,DouglasFir,143,2.0,30
CoastS,SideCavity,DouglasFir,163,2.0,30
CoastS,SideCavity,DouglasFir,107,2.0,38
CoastS,SideCavity,DouglasFir,50,2.0,31
CoastS,SideCavity,DouglasFir,183,2.0,29
CoastS,SideCavity,DouglasFir,140,2.0,46
CoastS,SideCavity,DouglasFir,140,2.0,48
CoastS,SideCavity,DouglasFir,155,2.0,47
CoastS,SideCavity,DouglasFir,123,2.0,36
CoastS,SideCavity,DouglasFir,152,2.0,48
CoastS,SideCavity,DouglasFir,141,6.0,34
CoastS,SideCavity,DouglasFir,131,2.0,34
CoastS,SideCavity,DouglasFir,118,2.0,37
CoastS,SideCavity,DouglasFir,151,2.0,49
CoastS,SideCavity,DouglasFir,142,2.0,49
CoastS,SideCavity,DouglasFir,123,2.0,33
CoastS,SideCavity,DouglasFir,121,2.0,49
CoastS,SideCavity,DouglasFir,170,2.0,34
CoastS,SideCavity,DouglasFir,130,6.0,27
CoastS,SideCavity,DouglasFir,130,1.0,39
CoastS,SideCavity,DouglasFir,123,2.0,26
CoastS,SideCavity,DouglasFir,74,2.0,27
CoastS,SideCavity,DouglasFir,194,2.0,47
CoastS,SideCavity,DouglasFir,145,2.0,53
CoastS,SideCavity,DouglasFir,136,2.0,45
CoastS,SideCavity,DouglasFir,77,1.0,28
CoastS,SideCavity,DouglasFir,154,2.0,38
CoastS,SideCavity,DouglasFir,130,1.0,52
CoastS,SideCavity,DouglasFir,147,2.0,29
CoastS,SideCavity,DouglasFir,201,2.0,51
CoastS,SideCavity,DouglasFir,147,2.0,38
CoastS,SideCavity,DouglasFir,147,2.0,45
CoastS,SideCavity,DouglasFir,145,2.0,52
CoastS,SideCavity,DouglasFir,107,2.0,35
CoastS,SideCavity,WesternHemlock,98,2.0,51
CoastS,SideCavity,WesternHemlock,83,2.0,39
CoastS,SideCavity,WesternRedCedar,89,6.0,17
CoastS,SideCavity,WesternRedCedar,138,2.0,43
CoastS,SideCavity,WesternRedCedar,147,6.0,18
CoastS,SideCavity,WesternRedCedar,168,1.0,40
CoastS,SideCavity,WesternRedCedar,130,2.0,44
CoastS,SideCavity,WesternRedCedar,101,1.0,30
CoastS,SideCavity,WesternRedCedar,158,2.0,37
CoastS,SideCavity,WesternRedCedar,94,1.0,53
CoastS,SideCavity,WesternRedCedar,140,2.0,38
CoastS,SideCavity,Other,61,1.0,21
CoastS,SideCavity,Other,58,1.0,23
CoastS,SideCavity,Other,72,1.0,23
CoastS,SideCavity,Other,67,2.0,20
CoastS,SideCavity,Other,82,1.0,21
CoastS,SideCavity,Other,157,1.0,49
CoastS,SideCavity,Other,85,1.0,29
